id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
73619,3500,48,Femenino,0,27667,0,525,25000,27667,2.2,2,0,0
143870,5500,42,Masculino,1,0,2947,393,-2800,0,0.9,6,0,1
167643,7500,32,Masculino,1,10874,4660,371,6000,5437,0.9,10,0,1
129830,3500,42,Masculino,1,0,8456,513,-8000,0,2.1,3,1,1
146075,3500,31,Femenino,4,0,3646,406,-3500,0,0.9,7,1,1
137376,5500,59,Femenino,0,16909,9511,641,7000,16909,6.1,5,0,0
142962,3500,32,Masculino,1,3684,1473,484,2100,1842,1.8,6,1,0
107214,3500,26,Femenino,0,13019,6509,620,6000,13019,5.3,10,0,0
112788,3500,33,Femenino,0,7546,5390,469,2000,7546,1.6,11,0,0
82059,3500,43,Masculino,0,7727,3863,561,3500,7727,3.2,4,1,1
116719,3500,27,Masculino,0,13916,6423,591,7000,13916,4.0,12,1,0
73952,4000,31,Femenino,0,23240,0,510,21000,23240,2.1,2,1,0
69380,3500,27,Masculino,2,8902,3449,662,4900,2967,6.1,1,0,0
155940,4500,25,Femenino,0,0,6251,498,-6000,0,1.9,8,1,0
68390,3500,49,Masculino,0,0,5007,425,-4500,0,1.2,1,1,1
127845,5500,33,Femenino,0,12684,6342,406,6000,12684,0.9,3,0,0
118180,4500,44,Femenino,0,8488,2122,458,6000,8488,1.5,1,0,1
75861,5000,62,Femenino,0,10485,4966,551,5000,10485,2.9,3,0,0
169782,3500,32,Femenino,0,0,6213,491,-6000,0,1.9,10,0,1
147215,3500,31,Femenino,2,8335,8335,504,0,2778,2.0,7,0,0
172411,7500,20,Masculino,1,2577,1031,521,1500,1288,2.2,11,1,1
103101,4500,35,Femenino,1,16335,5608,412,9850,8167,1.2,9,0,0
95733,3500,38,Femenino,1,13126,4375,679,8000,6563,8.3,8,0,0
76502,3500,46,Masculino,3,0,3311,469,-3000,0,1.6,3,1,0
121738,5500,20,Femenino,2,4244,2122,471,2000,1414,1.6,1,0,0
131075,3500,19,Femenino,1,9757,3164,0,6250,4878,0.0,4,0,1
116962,5500,30,Masculino,1,2122,1061,625,1000,1061,5.3,1,1,1
91749,5500,33,Femenino,0,13199,0,413,12000,13199,1.2,7,1,1
128950,3500,43,Femenino,1,8456,5602,452,2700,4228,1.5,3,0,0
171142,18000,18,Masculino,0,3624,1553,0,2000,3624,0.0,10,1,1
145253,5500,53,Femenino,0,0,5264,509,-5000,0,2.0,6,1,0
111860,3500,33,Femenino,1,8085,2156,471,5500,4042,1.6,11,0,0
176347,3500,42,Femenino,2,12326,6163,563,6000,4108,3.2,12,0,0
88652,6000,33,Masculino,0,11936,2763,413,8300,11936,1.2,6,0,0
141903,5500,21,Femenino,0,0,6317,543,-6000,0,2.75,6,1,0
110598,3500,27,Masculino,2,14015,12397,401,1500,4671,0.9,11,0,1
118571,4500,19,Masculino,0,12732,4244,502,8000,12732,2.0,1,0,0
75758,6000,54,Femenino,0,15452,0,477,14000,15452,1.6,3,0,0
66876,3500,19,Femenino,0,11128,0,539,10000,11128,2.75,1,1,0
168260,7500,38,Masculino,3,8285,2589,471,5500,2071,1.6,10,0,1
135322,3500,40,Femenino,0,2109,738,0,1300,2109,0.0,4,0,1
96661,3500,22,Femenino,0,1640,656,593,900,1640,4.0,8,1,0
76554,3500,52,Femenino,0,6622,0,631,6000,6622,5.3,3,1,0
151002,5500,20,Masculino,0,13024,4167,465,8500,13024,1.5,7,0,1
134411,3500,33,Femenino,1,8439,2109,679,6000,4219,8.3,4,0,1
