id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
141839,10500,41,Femenino,1,0,6317,389,2,4211,1.37670068,1.020677598,-6000,0,0.9,6,1,1
132569,12000,33,Femenino,1,16878,6329,569,4,12658,1.063798701,1.0,10000,8439,3.2,4,0,0
141316,17000,44,Femenino,1,10528,0,658,3,15792,1.063778119,1.000152258,10000,5264,6.1,6,0,0
140040,8000,21,Femenino,1,12682,6341,471,3,5284,1.063783368,1.01975759,6000,6341,1.6,5,0,0
134857,3500,25,Femenino,2,8439,4746,606,5,7384,0.810497046,0.0,3500,2813,4.6,4,0,0
139273,6000,56,Femenino,1,7292,4333,563,8,6341,1.030664395,0.790368937,2800,3646,3.2,5,1,0
132183,6000,37,Femenino,3,11076,4008,576,2,3164,1.134703196,1.019835279,6700,2769,3.5,4,0,0
129540,16000,39,Masculino,1,15855,11627,603,2,10570,1.063798027,1.0,4000,7927,4.6,3,0,0
141488,5500,54,Femenino,1,0,10528,488,6,8422,1.063778772,1.017036872,-10000,0,1.8,6,0,0
110354,6000,20,Femenino,0,9163,5929,484,2,3234,1.134703196,1.023843402,3000,9163,1.8,11,0,0
154680,14000,42,Femenino,1,15628,9376,478,13,11460,1.190299987,0.983748042,6000,7814,1.8,8,0,1
138304,10500,38,Femenino,1,14795,5812,568,3,7926,1.273585896,0.996422232,8500,7397,3.2,5,0,0
129628,5500,26,Femenino,0,10570,5073,600,6,5285,0.945585216,0.887105517,5200,10570,4.6,3,1,1
115203,3500,35,Femenino,1,12846,4282,506,3,3746,0.851026393,0.921362387,8000,6423,2.0,12,0,0
115017,12000,26,Femenino,2,10705,8564,586,7,9099,1.134718826,1.003901183,2000,3568,4.0,12,0,0
114993,12000,22,Femenino,0,10705,9099,482,6,11775,1.052230878,0.842590708,1500,10705,1.8,12,0,1
131480,5500,49,Masculino,0,7384,3692,447,2,2109,1.063782051,0.977600332,3500,7384,1.3,4,1,1
132306,7000,62,Masculino,0,28481,3164,459,2,4219,1.063782051,0.0,24000,28481,1.5,4,1,1
138896,5500,42,Masculino,0,15852,12682,471,5,5284,1.134702259,1.146720925,3000,15852,1.6,5,0,0
116040,5500,47,Femenino,3,10705,5352,489,2,5352,1.273890381,0.971589848,5000,2676,1.8,12,1,0
141661,3500,33,Masculino,2,12634,5053,464,2,3158,0.810502283,0.833058929,7200,4211,1.5,6,1,0
141628,4000,60,Femenino,0,10528,8422,577,3,2105,1.134700855,1.022565164,2000,10528,3.5,6,0,0
141659,3500,22,Femenino,0,5053,1052,653,6,3158,1.19078341,1.00643734,3800,5053,6.1,6,0,0
136310,3500,64,Masculino,1,11836,5389,523,2,3170,1.031035959,0.814531388,6100,5918,2.2,5,1,1
139976,7500,32,Femenino,3,16909,12682,608,2,5284,1.18815331,0.966004343,4000,4227,4.6,5,0,1
139388,5500,41,Femenino,1,10568,5284,667,4,3170,1.215753425,1.028445982,5000,5284,8.3,5,0,0
133982,14000,19,Masculino,0,39969,2278,368,6,11603,1.192971806,1.005418686,35730,39969,0.9,4,0,0
132646,11000,37,Masculino,2,12658,9493,456,4,10548,1.114710973,0.97220433,3000,4219,1.5,4,0,1
136647,7500,51,Femenino,0,10568,7926,483,2,4755,1.49259564,1.030512676,2500,10568,1.8,5,0,0
131955,5500,60,Femenino,0,9493,4219,551,2,3164,1.117123288,1.018539685,5000,9493,2.9,4,0,0
131113,3500,26,Femenino,1,12658,4219,432,5,8439,1.494071146,1.043917954,8000,6329,1.2,4,0,0
136287,10000,29,Femenino,2,10568,6341,455,3,7397,1.501924353,1.031201927,4000,3522,1.5,5,0,1
139950,7000,48,Masculino,2,9511,4227,458,3,4227,1.063782051,1.0,5000,3170,1.5,5,0,0
96917,14500,59,Femenino,0,7657,7110,547,6,12032,1.063798395,1.00069889,500,7657,2.75,8,0,0
121071,5500,53,Femenino,0,10079,4244,473,2,3819,0.680797721,0.0,5500,10079,1.6,1,1,0
129721,5500,35,Masculino,2,3171,2114,474,3,5813,0.945580339,0.960004394,1000,1057,1.6,3,1,1
136689,8500,31,Masculino,2,9511,4227,527,3,5812,1.063777881,0.998820731,5000,3170,2.2,5,1,1
154786,5500,54,Femenino,0,14898,6834,518,2,3125,0.895818313,0.850132096,7740,14898,2.1,8,1,1
132131,7500,27,Masculino,3,4219,1582,528,3,5274,1.285420945,1.013382696,2500,1054,2.2,4,1,1
111719,5500,41,Femenino,2,14015,6468,499,2,3234,1.203277886,0.989591713,7000,4671,1.9,11,1,0
111595,12000,48,Masculino,0,19405,6468,553,6,11858,1.190138945,0.983249613,12000,19405,2.9,11,0,0
97992,5500,28,Femenino,1,19690,5688,345,3,5469,0.680821355,0.0,12800,9845,0.9,8,0,0
132686,8500,39,Femenino,1,17405,4746,406,8,8439,1.270804643,1.007250617,12000,8702,0.9,4,0,1
